CO2,Pressure,Temperature,Humidity, Room, Position, Sensor ID,time
1524,97073,30.499,19.032,none,Calibration,7C:3F:E7:16:00:69,1675872721
1564,97076,30.416,19.467,none,Calibration,B8:27:EB:B1:D5:C6,1675872722
1574,97095,30.205,25.457,none,Calibration,B8:27:EB:98:CF:BA,1675872724
1526,97087,29.103,20.088,none,Calibration,B8:27:EB:0F:85:C3,1675872726
1520,97078,29.909,24.975,none,Calibration,B8:27:EB:34:50:CA,1675872727
1557,97083,30.376,18.872,none,Calibration,B8:27:EB:86:0C:42,1675872729
1548,97062,30.534,19.088,none,Calibration,7C:3F:E7:16:00:69,1675872793
1592,97072,30.432,19.467,none,Calibration,B8:27:EB:B1:D5:C6,1675872794
1605,97085,30.264,25.43,none,Calibration,B8:27:EB:98:CF:BA,1675872796
1559,97088,29.111,20.066,none,Calibration,B8:27:EB:0F:85:C3,1675872797
1546,97088,29.912,24.955,none,Calibration,B8:27:EB:34:50:CA,1675872799
1596,97083,30.39,18.887,none,Calibration,B8:27:EB:86:0C:42,1675872801
1568,97079,30.515,19.088,none,Calibration,7C:3F:E7:16:00:69,1675872863
1620,97067,30.416,19.485,none,Calibration,B8:27:EB:B1:D5:C6,1675872865
1624,97104,30.211,25.463,none,Calibration,B8:27:EB:98:CF:BA,1675872867
1585,97100,29.081,20.108,none,Calibration,B8:27:EB:0F:85:C3,1675872869
1567,97084,29.917,24.972,none,Calibration,B8:27:EB:34:50:CA,1675872871
1631,97095,30.371,18.869,none,Calibration,B8:27:EB:86:0C:42,1675872873
,,,none,Calibration,7C:3F:E7:16:00:69,1675872933
1638,97080,30.448,19.486,none,Calibration,B8:27:EB:B1:D5:C6,1675872935
1642,97089,30.224,25.456,none,Calibration,B8:27:EB:98:CF:BA,1675872936
1605,97083,29.095,20.106,none,Calibration,B8:27:EB:0F:85:C3,1675872938
1589,97085,29.954,24.958,none,Calibration,B8:27:EB:34:50:CA,1675872939
1655,97082,30.376,18.879,none,Calibration,B8:27:EB:86:0C:42,1675872941
1601,97069,30.593,19.062,none,Calibration,7C:3F:E7:16:00:69,1675873003
1663,97075,30.416,19.488,none,Calibration,B8:27:EB:B1:D5:C6,1675873004
1660,97097,30.246,25.468,none,Calibration,B8:27:EB:98:CF:BA,1675873006
1625,97091,29.108,20.121,none,Calibration,B8:27:EB:0F:85:C3,1675873008
1602,97094,30.008,24.996,none,Calibration,B8:27:EB:34:50:CA,1675873009
1665,97091,30.387,18.89,none,Calibration,B8:27:EB:86:0C:42,1675873011
1619,97071,30.563,19.079,none,Calibration,7C:3F:E7:16:00:69,1675873073
1679,97070,30.44,19.506,none,Calibration,B8:27:EB:B1:D5:C6,1675873074
1673,97100,30.272,25.466,none,Calibration,B8:27:EB:98:CF:BA,1675873077
1637,97091,29.119,20.117,none,Calibration,B8:27:EB:0F:85:C3,1675873079
1610,97079,29.917,24.986,none,Calibration,B8:27:EB:34:50:CA,1675873080
1684,97088,30.4,18.901,none,Calibration,B8:27:EB:86:0C:42,1675873083
,,,none,Calibration,7C:3F:E7:16:00:69,1675873144
1693,97072,30.427,19.485,none,Calibration,B8:27:EB:B1:D5:C6,1675873145
1687,97087,30.275,25.479,none,Calibration,B8:27:EB:98:CF:BA,1675873147
1652,97079,29.119,20.123,none,Calibration,B8:27:EB:0F:85:C3,1675873149
1624,97082,29.971,25.007,none,Calibration,B8:27:EB:34:50:CA,1675873150
1696,97082,30.39,18.901,none,Calibration,B8:27:EB:86:0C:42,1675873152
,,,none,Calibration,7C:3F:E7:16:00:69,1675873213
1702,97065,30.435,19.499,none,Calibration,B8:27:EB:B1:D5:C6,1675873214
1685,97093,30.267,25.451,none,Calibration,B8:27:EB:98:CF:BA,1675873216
1660,97093,29.111,20.141,none,Calibration,B8:27:EB:0F:85:C3,1675873218
1634,97079,29.912,24.998,none,Calibration,B8:27:EB:34:50:CA,1675873219
1702,97088,30.414,18.901,none,Calibration,B8:27:EB:86:0C:42,1675873221
1645,97059,30.574,19.062,none,Calibration,7C:3F:E7:16:00:69,1675873284
1708,97080,30.448,19.515,none,Calibration,B8:27:EB:B1:D5:C6,1675873285
1693,97088,30.232,25.488,none,Calibration,B8:27:EB:98:CF:BA,1675873287
1669,97081,29.108,20.146,none,Calibration,B8:27:EB:0F:85:C3,1675873288
1636,97073,30.0,25.012,none,Calibration,B8:27:EB:34:50:CA,1675873291
1713,97076,30.406,18.901,none,Calibration,B8:27:EB:86:0C:42,1675873293
