487,97082,29.25,19.091,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675862205
462,97094,29.068,18.693,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675862268
493,97102,29.255,19.094,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675862269
526,97087,29.402,18.727,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675862271
489,97100,29.266,19.174,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675862273
466,97091,29.068,18.794,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675862336
496,97100,29.252,19.116,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675862338
525,97085,29.402,18.8,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675862339
493,97079,29.266,19.242,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675862341
631,97082,29.071,18.696,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675863291
523,97098,29.236,18.824,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675863293
649,97080,29.447,18.698,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675863296
605,97078,29.271,19.029,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675863299
605,97083,29.055,18.833,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675863361
498,97102,29.151,19.017,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675863363
630,97088,29.402,18.782,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675863365
583,97087,29.274,19.151,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675863368
586,97096,29.089,18.957,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675863430
473,97095,29.287,19.111,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675863432
617,97074,29.436,18.92,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675863435
568,97085,29.239,19.247,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675863437
560,97082,29.081,19.061,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675863498
466,97100,29.209,19.203,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675863500
605,97089,29.412,18.991,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675863503
559,97086,29.266,19.332,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675863505
537,97094,29.103,19.143,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675863566
457,97090,29.231,19.261,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675863568
,,,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675863569
543,97077,29.292,19.415,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675863572
527,97075,29.095,19.261,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675863635
450,97098,29.18,19.337,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675863636
583,97086,29.404,19.157,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675863639
541,97084,29.271,19.465,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675863641
507,97085,29.097,19.319,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675863705
441,97103,29.217,19.377,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675863707
578,97078,29.444,19.245,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675863708
533,97090,29.274,19.517,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675863710
501,97094,29.089,19.416,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675863773
441,97090,29.252,19.448,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675863775
571,97083,29.447,19.277,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675863777
524,97078,29.258,19.546,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675863779
496,97074,29.071,19.464,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675863841
436,97099,29.268,19.483,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675863843
564,97072,29.415,19.34,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675863845
522,97084,29.263,19.61,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675863847
484,97089,29.081,19.512,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675863909
430,97086,29.185,19.543,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675863911
561,97079,29.455,19.389,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675863913
518,97073,29.274,19.642,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675863915
480,97075,29.097,19.567,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675863977
,,,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675863977
558,97073,29.439,19.412,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675863979
514,97088,29.266,19.682,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675863981
479,97086,29.071,19.596,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675864043
425,97089,29.247,19.615,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675864045
557,97068,29.471,19.48,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675864049
513,97074,29.258,19.723,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675864052
476,97070,29.076,19.656,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675864115
423,97083,29.193,19.644,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675864117
554,97071,29.463,19.491,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675864119
508,97073,29.234,19.767,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675864121
466,97071,29.087,19.701999999999998,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675864184
421,97086,29.236,19.673000000000002,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675864186
554,97065,29.423,19.549,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675864188
511,97071,29.276,19.79,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675864190
462,97082,29.105,19.726,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675864252
415,97081,29.228,19.726,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675864254
553,97076,29.396,19.578,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675864256
508,97063,29.282,19.808,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675864258
468,97070,29.105,19.766,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675864320
418,97091,29.217,19.728,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675864322
552,97064,29.455,19.618,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675864324
511,97081,29.255,19.828,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675864326
503,97084,29.105,19.741,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675864388
450,97085,29.225,19.701999999999998,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675864390
670,97080,29.412,19.592,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675864392
566,97068,29.271,19.799,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675864394
765,97066,29.105,19.787,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675864456
622,97088,29.252,19.718,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675864458
839,97063,29.431,19.642,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675864460
726,97082,29.292,19.805,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675864462
979,97081,29.087,19.828,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675864524
859,96975,29.255,19.747,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675864526
1043,96723,29.482,19.653,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675864528
915,97061,29.274,19.789,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675864531
1113,97081,29.132,18.301,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675864593
,,,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675864593
1120,97065,29.466,16.996,4A-027,Calibration,C6:DA:C4:A8:1E:15,1675864596
1109,97081,29.271,17.718,4A-027,Calibration,C6:DA:C4:A8:1E:16,1675864598
1084,97064,29.111,18.246,4A-027,Calibration,C6:DA:C4:A8:1E:12,1675864659
1015,97087,29.22,17.916,4A-027,Calibration,C6:DA:C4:A8:1E:03,1675864662
